pi_B,beta,scheme,lat_p99_mean,lat_p99_ci,goodput_mean,goodput_ci,eff_payload_over_tx_mean,eff_payload_over_tx_ci,retransmissions_mean,retransmissions_ci
0.0,0.2,ShieldLink Mode A,47.0,0.0,0.888888888888889,1.0880185641326534e-16,0.888888888888889,1.0880185641326534e-16,0.0,0.0
0.0,0.2,Naive Stacking (secure),50.0,0.0,0.8648648648648649,0.0,0.8648648648648649,0.0,0.0,0.0
0.0,0.2,ShieldLink Mode B (M=32),1132.0,0.0,0.9134701159678859,0.0,0.9262777023971054,0.0,0.0,0.0
0.005,0.2,ShieldLink Mode A,47.0,0.0,0.8738760333536757,0.022093844924503548,0.8541154262834105,0.05135828149112825,737.2,1121.0948829354274
0.005,0.2,Naive Stacking (secure),50.0,0.0,0.8488098816940026,0.023719526391435954,0.831031225573048,0.049970219829205825,737.2,1121.0948829354274
0.005,0.2,ShieldLink Mode B (M=32),1609.7259999999987,464.9706984431876,0.9045355797034466,0.0037155636837148103,0.9167821022810365,0.003914328615221575,170.2,70.86260666952634
0.01,0.2,ShieldLink Mode A,47.0,0.0,0.8693755230236805,0.020669910931431393,0.8439691619264739,0.047915793554501325,934.0,1049.2824807076497
0.01,0.2,Naive Stacking (secure),50.0,0.0,0.8440670786315774,0.022180584012060984,0.8211591845771096,0.04662077210708237,934.0,1049.2824807076497
0.01,0.2,ShieldLink Mode B (M=32),1961.563999999999,181.89877763198228,0.8968134375838384,0.005241090697265732,0.9084612027005345,0.005551592402726242,322.4,102.68529600677985
0.02,0.2,ShieldLink Mode A,47.0,0.0,0.8666527767811217,0.01657858160286799,0.8384029111866054,0.039211204102627184,1027.6,842.8808119396241
0.02,0.2,Naive Stacking (secure),50.0,0.0,0.8412890402279375,0.017842177354337508,0.815743373046427,0.03815144182958322,1027.6,842.8808119396241
0.02,0.2,ShieldLink Mode B (M=32),2132.5879999999997,64.03595527956485,0.8839916557203378,0.007836290838054968,0.8946635531094447,0.008206899238953763,581.2,156.77231255550197
0.03,0.2,ShieldLink Mode A,47.0,0.0,0.864500792610959,0.007624063387649912,0.8340636120772051,0.019011209046797498,1086.4,397.63207448092004
0.03,0.2,Naive Stacking (secure),50.0,0.0,0.8391318231004643,0.00828896604025213,0.8115213522913347,0.01849739258607324,1086.4,397.63207448092004
0.03,0.2,ShieldLink Mode B (M=32),2253.9239999999995,57.6699738604552,0.8699086767758073,0.008427069374191794,0.8796086053866548,0.008869191770398977,872.2,174.7319938191057
0.04,0.2,ShieldLink Mode A,47.0,0.0,0.8678982302240676,0.005513939686120128,0.843489296382602,0.014182499397736338,887.0,294.48111301066496
0.04,0.2,Naive Stacking (secure),50.0,0.0,0.8429379392419811,0.0060348775159330195,0.8206922883722612,0.013799188603202934,887.0,294.48111301066496
0.04,0.2,ShieldLink Mode B (M=32),2307.3799999999997,71.94659464474942,0.8570969568038784,0.010227113274089743,0.8659556867760433,0.010826678270365151,1145.6,220.5175086382031
0.05,0.2,ShieldLink Mode A,55.4,16.464,0.8696622923356259,0.004134034373271512,0.8489957129274792,0.009784204336718567,772.2,194.81788722804689
0.05,0.2,Naive Stacking (secure),58.6,16.855999999999998,0.8449779945902254,0.004408380765792726,0.8260498828483582,0.009519766381672116,772.2,194.81788722804689
0.05,0.2,ShieldLink Mode B (M=32),2375.8319999999994,111.77674003923242,0.8475545166002345,0.010741037535286635,0.855681378126975,0.011328850661494003,1356.6,233.9263079176859
